main_seller_state,total_orders,late_orders,late_delivery_rate_percent,avg_review_score,avg_delivery_days,avg_freight_value
AM,3,1,33.33,2.33,47.33,27.27
BA,550,27,4.91,4.19,13.44,35.2
CE,86,6,6.98,4.3,17.35,49.58
DF,807,43,5.33,4.09,12.01,22.46
ES,309,19,6.15,4.16,12.64,38.55
GO,451,13,2.88,4.38,12.39,27.45
MA,389,74,19.02,4.01,17.26,31.05
MG,7706,371,4.81,4.23,12.38,27.09
MS,49,3,6.12,4.46,11.76,26.74
MT,136,5,3.68,4.21,14.25,34.51
PA,8,0,0.0,4.5,13.13,19.39
PB,35,1,2.86,3.91,12.37,45.25
PE,403,15,3.72,4.26,12.4,30.78
PI,10,0,0.0,4.3,13.4,36.93
PR,7476,402,5.38,4.19,12.95,25.98
RJ,4202,301,7.16,4.23,11.62,21.9
RN,50,4,8.0,4.28,12.9,25.73
RO,13,0,0.0,3.77,17.92,53.65
RS,1950,61,3.13,4.34,11.07,28.98
SC,3569,175,4.9,4.18,13.27,29.37
SE,9,0,0.0,3.78,12.11,38.74
SP,68267,5013,7.34,4.13,11.9,21.11
