customer_state,order_count,late_orders,average_review_score,average_delivery_days,average_freight_value,late_delivery_rate
AC,80,3,4.0875,20.6375,45.554500000000004,0.0375
AL,397,85,3.8527918781725887,24.04030226700252,38.581284634760706,0.2141057934508816
AM,145,4,4.243055555555555,25.986206896551725,37.44572413793104,0.027586206896551724
AP,67,2,4.242424242424242,26.73134328358209,41.298507462686565,0.029850746268656716
BA,3256,396,3.930009290802106,18.86640049140049,29.96120085995086,0.12162162162162163
CE,1279,176,3.941869599371563,20.817826426896012,36.49678655199374,0.1376075058639562
DF,2080,118,4.133816425120773,12.509134615384616,23.85814423076923,0.05673076923076923
ES,1995,214,4.079735906551549,15.331829573934836,24.56866165413534,0.10726817042606517
GO,1957,128,4.10431654676259,15.15074092999489,26.25224833929484,0.06540623403168115
MA,717,125,3.833567415730337,21.11715481171548,42.948633193863316,0.17433751743375175
MG,11354,519,4.19246787771378,11.542187775233398,23.46396336093007,0.04571076272679232
MS,701,68,4.160228898426324,15.191155492154065,27.01509272467903,0.09700427960057062
MT,886,53,4.146188850967008,17.59367945823928,32.768397291196386,0.05981941309255079
PA,946,106,3.909967845659164,23.316067653276956,39.69659619450317,0.11205073995771671
PB,517,54,4.076171875,19.95357833655706,48.84280464216634,0.10444874274661509
PE,1593,153,4.082963901203294,17.965473948524796,35.833370998116756,0.096045197740113
PI,476,66,3.9936305732484074,18.993697478991596,42.97728991596638,0.13865546218487396
PR,4923,199,4.239591836734694,11.52671135486492,23.490816575258986,0.04042250660166565
RJ,12350,1495,3.965140720115743,14.848582995951418,23.947404048582996,0.12105263157894737
RN,474,44,4.149681528662421,18.824894514767934,39.25974683544304,0.09282700421940929
RO,243,7,4.1652892561983474,18.91358024691358,46.43308641975309,0.02880658436213992
RR,41,5,3.902439024390244,28.975609756097562,48.34268292682927,0.12195121951219512
RS,5345,325,4.1857518302984795,14.819236526946108,24.803614593077643,0.0608044901777362
SC,3546,291,4.133276499005399,14.475183305132544,24.84930908065426,0.08206429780033841
SE,335,51,3.907185628742515,21.029850746268657,40.940119402985076,0.15223880597014924
SP,40501,1820,4.246550625315555,8.298093544722676,17.334633465840348,0.0449371620453816
TO,274,27,4.153846153846154,17.226277372262775,42.35350364963504,0.09854014598540146
